SUBJ,CRS #,SEC #,CALL #,SEM HRS,TITLE,DAYS,START TIME,END TIME,BLDG & ROOM #,FACULTY,REMARKS,SECTION TYPE,MODALITY,SESSION,SESS BEGIN,SESS END
CMEN,555,1,30502,3,PRACTICUM,TBA,,,,MAINARDI D,,,Face to face,,3/13/2024,5/24/2024
CMEN,557,1,30503,3,NANOSYSTEMS MODELING,TR,1200PM,0150PM,,MAINARDI D,,,Face to face,,3/13/2024,5/24/2024
CMTX,557,51,32357,3,SPEC TOPICS IN COMM TECHNOLOGIES,T,0600PM,0915PM,ROBH 213,SMITH M,,,Face to face,,3/13/2024,5/24/2024
COMM,101,1,30507,3,PRINCIPLES OF COMM STUDIES,MWF,0800AM,0915AM,DAVH 224,STEVENS B,,,Face to face,,3/13/2024,5/24/2024
COMM,101,2,30508,3,PRINCIPLES OF COMM STUDIES,MWF,0930AM,1045AM,DAVH 206,RAUE T,,,Face to face,,3/13/2024,5/24/2024
COMM,101,3,30509,3,PRINCIPLES OF COMM STUDIES,MWF,0930AM,1045AM,DAVH 224,CARPER L,,,Face to face,,3/13/2024,5/24/2024
COMM,101,4,30510,3,PRINCIPLES OF COMM STUDIES,MWF,0930AM,1045AM,DAVH 225,STAKE K,,,Face to face,,3/13/2024,5/24/2024
COMM,101,5,30511,3,PRINCIPLES OF COMM STUDIES,MWF,0930AM,1045AM,DAVH 223,STEVENS B,,,Face to face,,3/13/2024,5/24/2024
COMM,101,6,30512,3,PRINCIPLES OF COMM STUDIES,MWF,1100AM,1215PM,DAVH 206,RAUE T,,,Face to face,,3/13/2024,5/24/2024
COMM,101,7,30513,3,PRINCIPLES OF COMM STUDIES,MWF,1100AM,1215PM,DAVH 224,LIONBERGER A,,,Face to face,,3/13/2024,5/24/2024
COMM,101,8,30514,3,PRINCIPLES OF COMM STUDIES,MWF,1100AM,1215PM,DAVH 223,DEAL C,,,Face to face,,3/13/2024,5/24/2024
COMM,101,9,30515,3,PRINCIPLES OF COMM STUDIES,MWF,1230PM,0145PM,DAVH 225,ALLEN M,,,Face to face,,3/13/2024,5/24/2024
COMM,101,10,30516,3,PRINCIPLES OF COMM STUDIES,MWF,1230PM,0145PM,DAVH 224,LIONBERGER A,,,Face to face,,3/13/2024,5/24/2024
COMM,101,11,30517,3,PRINCIPLES OF COMM STUDIES,MWF,1230PM,0145PM,DAVH 206,DEAL C,,,Face to face,,3/13/2024,5/24/2024
COMM,101,12,30518,3,PRINCIPLES OF COMM STUDIES,MWF,1230PM,0145PM,DAVH 223,CARPER L,TRANSFER ONLY,,Face to face,,3/13/2024,5/24/2024
COMM,101,13,30519,3,PRINCIPLES OF COMM STUDIES,MWF,0200PM,0315PM,DAVH 206,DEAL C,,,Face to face,,3/13/2024,5/24/2024
COMM,101,14,30520,3,PRINCIPLES OF COMM STUDIES,MWF,0200PM,0315PM,DAVH 225,ALLEN M,,,Face to face,,3/13/2024,5/24/2024
COMM,101,15,30521,3,PRINCIPLES OF COMM STUDIES,MWF,0200PM,0315PM,DAVH 223,CARPER L,,,Face to face,,3/13/2024,5/24/2024
COMM,101,16,32358,3,PRINCIPLES OF COMM STUDIES,MWF,0800AM,0915AM,DAVH 206,ALLEN M,,,Face to face,,3/13/2024,5/24/2024
COMM,101,17,30523,3,PRINCIPLES OF COMM STUDIES,TR,0800AM,0950AM,DAVH 206,RAUE T,,,Face to face,,3/13/2024,5/24/2024
COMM,101,18,32359,3,PRINCIPLES OF COMM STUDIES,TR,0800AM,0950AM,DAVH 225,STAKE K,,,Face to face,,3/13/2024,5/24/2024
COMM,101,19,32360,3,PRINCIPLES OF COMM STUDIES,TR,0800AM,0950AM,DAVH 224,STEVENS B,,,Face to face,,3/13/2024,5/24/2024
COMM,101,20,32361,3,PRINCIPLES OF COMM STUDIES,TR,0800AM,0950AM,DAVH 223,ALLEN M,,,Face to face,,3/13/2024,5/24/2024
COMM,101,21,32362,3,PRINCIPLES OF COMM STUDIES,TR,1000AM,1150AM,DAVH 206,RAUE T,,,Face to face,,3/13/2024,5/24/2024
COMM,101,22,32363,3,PRINCIPLES OF COMM STUDIES,TR,1000AM,1150AM,DAVH 223,STEVENS B,,,Face to face,,3/13/2024,5/24/2024
COMM,101,23,32364,3,PRINCIPLES OF COMM STUDIES,TR,1000AM,1150AM,DAVH 224,LIONBERGER A,,,Face to face,,3/13/2024,5/24/2024
COMM,101,24,32365,3,PRINCIPLES OF COMM STUDIES,TR,1000AM,1150AM,DAVH 225,STAKE K,,,Face to face,,3/13/2024,5/24/2024
COMM,101,25,32366,3,PRINCIPLES OF COMM STUDIES,TR,0200PM,0350PM,DAVH 206,DEAL C,,,Face to face,,3/13/2024,5/24/2024
COMM,101,26,32367,3,PRINCIPLES OF COMM STUDIES,TR,0200PM,0350PM,DAVH 223,CARPER L,,,Face to face,,3/13/2024,5/24/2024
COMM,101,27,32368,3,PRINCIPLES OF COMM STUDIES,TR,0200PM,0350PM,DAVH 225,ALLEN M,,,Face to face,,3/13/2024,5/24/2024
COMM,201,1,30524,3,INTRO TO DIGITAL PHOTOGRAPHY,MWF,1100AM,1215PM,GTMH 307,LEBLANC P,,,Face to face,,3/13/2024,5/24/2024
COMM,203,1,30527,3,INTERPERSONAL COMMUNICATION,TR,1200PM,0150PM,GTMH 313,MATHIS K,,,Face to face,,3/13/2024,5/24/2024
COMM,206A,51,30528,1,FORENSICS,T,0400PM,0515PM,ROBH 213,SMITH M,,,Face to face,,3/13/2024,5/24/2024
COMM,206B,51,30529,2,FORENSICS,R,0400PM,0530PM,ROBH 213,SMITH M,,,Face to face,,3/13/2024,5/24/2024
COMM,206C,51,30530,3,FORENSICS,TR,0400PM,0550PM,ROBH 213,SMITH M,,,Face to face,,3/13/2024,5/24/2024
COMM,240,1,32369,3,COMMUNICATING STEM,TR,0200PM,0350PM,ROBH 310,MATHIS K,,,Face to face,,3/13/2024,5/24/2024
COMM,250,1,30535,3,PRACTICAL REPORTING,TR,0800AM,0950AM,ROBH 213,LEBLANC P,,,Face to face,,3/13/2024,5/24/2024
COMM,251,1,30536,3,COMMUNICATION RESEARCH METHODS,MWF,0330PM,0445PM,ROBH 310,SMITH M,,,Face to face,,3/13/2024,5/24/2024
COMM,295,1,30537,3,MULTIMEDIA PRODUCTION & EDITING,MWF,1230PM,0145PM,GTMH 307,LEBLANC P,,,Face to face,,3/13/2024,5/24/2024
COMM,306A,51,30538,1,APPLIED FORENSICS,T,0400PM,0515PM,ROBH 213,SMITH M,,,Face to face,,3/13/2024,5/24/2024
COMM,306B,51,30539,2,APPLIED FORENSICS,R,0400PM,0530PM,ROBH 213,SMITH M,,,Face to face,,3/13/2024,5/24/2024
COMM,306C,51,30540,3,APPLIED FORENSICS,TR,0400PM,0550PM,ROBH 213,SMITH M,,,Face to face,,3/13/2024,5/24/2024
COMM,340,1,30541,3,GENDER & COMMUNICATION,MWF,0930AM,1045AM,ROBH 213,MATHIS K,,,Face to face,,3/13/2024,5/24/2024
COMM,378,1,30542,3,PROFESSIONAL COMMUNICATION,MWF,1230PM,0145PM,ROBH 213,MATHIS K,,,Face to face,,3/13/2024,5/24/2024
COMM,440,1,30544,3,SOCIAL MEDIA,TR,1000AM,1150AM,ROBH 213,ROBERTS J,,,Face to face,,3/13/2024,5/24/2024
COMM,490,1,30545,3,CAPSTONE SEM FOR COMM STUDIES,MWF,0200PM,0315PM,ROBH 213,SMITH M,,,Face to face,,3/13/2024,5/24/2024
COMM,499,1,30546,3,INTERNSHIP IN JOURNALISM,TBA,,,,ROBERTS J,,,Face to face,,3/13/2024,5/24/2024
COUN,201,1,30547,3,ORIENTATION LEADER SERVICES,TR,0800AM,0950AM,,TAYLOR E,ORIEN LEADERS,,Face to face,,3/13/2024,5/24/2024
COUN,201,2,30548,3,THE RESIDENT ASSISTANT,TR,0200PM,0350PM,GTMH 123,INGRAM C,,,Face to face,,3/13/2024,5/24/2024
COUN,400,1,30549,3,INTRO TO COUNSELING,MW,1230PM,0220PM,WOOH 216,BATES T,,,Face to face,,3/13/2024,5/24/2024
COUN,587,1,30559,0,COMP EXAM IN HUMAN SERVICES,TBA,,,,LIVINGSTON M,,,Face to face,,3/13/2024,5/24/2024
CSC,130,1,30561,3,THE SCIENCE OF COMPUTING I,MWF,1100AM,1215PM,IESB 218,STAFF T,XLS CYEN130 001,,Face to face,,3/13/2024,5/24/2024
CSC,131,1,30562,3,THE SCIENCE OF COMPUTING II,MWF,0800AM,0915AM,IESB 216,CORIELL J,XLS CYEN131-001,,Face to face,,3/13/2024,5/24/2024
CSC,131,2,30563,3,THE SCIENCE OF COMPUTING II,MWF,0200PM,0315PM,IESB 216,CHERRY K,XLS CYEN131-002,,Face to face,,3/13/2024,5/24/2024
CSC,132,1,30566,3,THE SCIENCE OF COMPUTING III,MWF,0800AM,0915AM,IESB 218,BOWMAN T,XLS CYEN132-001,,Face to face,,3/13/2024,5/24/2024
CSC,132,2,30567,3,THE SCIENCE OF COMPUTING III,MWF,1100AM,1215PM,IESB 216,BOWMAN T,XLS CYEN132-002,,Face to face,,3/13/2024,5/24/2024
CSC,132,3,30568,3,THE SCIENCE OF COMPUTING III,MWF,0200PM,0315PM,IESB 218,CORIELL J,XLS CYEN132-003,,Face to face,,3/13/2024,5/24/2024
CSC,132,4,30569,3,THE SCIENCE OF COMPUTING III,MWF,0930AM,1045AM,IESB 218,BOWMAN T,XLS CYEN132-004,,Face to face,,3/13/2024,5/24/2024
CSC,220,1,30570,3,DATA STRUCTURES,MWF,0930AM,1045AM,NETH 105,MUDHISH A,,,Face to face,,3/13/2024,5/24/2024
CSC,310,1,30571,3,THEORY OF COMPUTING,TR,0200PM,0350PM,IESB 216,WALTERS J,,,Face to face,,3/13/2024,5/24/2024
CSC,310,2,30572,3,THEORY OF COMPUTING,TR,1000AM,1150AM,IESB 216,O'NEAL M,,,Face to face,,3/13/2024,5/24/2024
CSC,325,1,30573,3,ADV DATA STRUCTURES & ALGORITHMS,MWF,0800AM,0915AM,IESB 205,TIMOFEYEV A,,,Face to face,,3/13/2024,5/24/2024
CSC,325,2,30574,3,ADV DATA STRUCTURES & ALGORITHMS,MWF,0930AM,1045AM,IESB 224,TIMOFEYEV A,,,Face to face,,3/13/2024,5/24/2024
CSC,330,1,30575,3,PROGRAMMING LANGUAGES,MWF,0930AM,1045AM,IESB 205,TERRY J,,,Face to face,,3/13/2024,5/24/2024
CSC,345,1,30576,3,OPERATING SYSTEMS,TR,1000AM,1150AM,IESB 218,EL-AWADI Z,,,Face to face,,3/13/2024,5/24/2024
CSC,345,2,30577,3,OPERATING SYSTEMS,TR,0800AM,0950AM,IESB 218,EL-AWADI Z,,,Face to face,,3/13/2024,5/24/2024
CSC,345,3,30578,3,OPERATING SYSTEMS,TR,0200PM,0350PM,IESB 218,EL-AWADI Z,,,Face to face,,3/13/2024,5/24/2024
CSC,364,1,30579,3,COMPUTER ARCHITECTURE,TR,1000AM,1150AM,IESB 224,CHOI B,,,Face to face,,3/13/2024,5/24/2024
CSC,403,1,30580,3,SOFTWARE DESIGN AND ENGINEERING,MWF,0330PM,0445PM,IESB 218,CHERRY K,,,Face to face,,3/13/2024,5/24/2024
CSC,406,1,30581,1,SENIOR CAPSTONE II,MWF,0200PM,0315PM,NETH 105,BOWMAN T,,,Face to face,,3/13/2024,5/24/2024
CSC,406,2,30582,1,SENIOR CAPSTONE II,MWF,0200PM,0315PM,NETH 120,BOWMAN T,,,Face to face,,3/13/2024,5/24/2024
CSC,406,3,32627,1,SENIOR CAPSTONE II,MWF,0200PM,0315PM,NETH 243,BOWMAN T,,,Face to face,,3/13/2024,5/24/2024
CSC,430,1,30583,3,DATABASE MANAGEMENT SYSTEMS,TR,0800AM,0950AM,IESB 216,TIMOFEYEV A,XLS CSC 530-001,,Face to face,,3/13/2024,5/24/2024
CSC,442,1,30584,3,INTRODUCTION TO CYBER SECURITY,MWF,1100AM,1215PM,IESB 224,KIREMIRE A,XLS CYEN301-001,,Face to face,,3/13/2024,5/24/2024
CSC,442,2,30585,3,INTRODUCTION TO CYBER SECURITY,MWF,1100AM,1215PM,IESB 224,TIMOFEYEV A,XLS CYEN301 002,,Face to face,,3/13/2024,5/24/2024
CSC,444,1,32531,3,APPLIED CRYPTOGRAPHY,MWF,0800AM,0915AM,NETH 105,STAFF T,XLS CYEN406-001,,Face to face,,3/13/2024,5/24/2024
CSC,444,2,32532,3,APPLIED CRYPTOGRAPHY,MWF,0330PM,0445PM,IESB 205,SPURGEON J,XLS CYEN406-002,,Hybrid,,3/13/2024,5/24/2024
CSC,454,1,30588,3,ADVANCED COMPUTER NETWORKS,TR,1200PM,0150PM,IESB 216,GLISSON W,XLS CSC 554-001,,Face to face,,3/13/2024,5/24/2024
CSC,456,99,30589,3,COMPUTER SCIENCE INTERNSHIP,TBA,,,,KIREMIRE A,,,Face to face,,3/13/2024,5/24/2024
CSC,477,51,32533,3,GAME DESIGN,TR,0600PM,0845PM,IESB 216,CHERRY K,XLS GAME477-051,,Face to face,,3/13/2024,5/24/2024
CSC,490C,1,30590,3,APPLIED COMPUTING PROJECT,TBA,,,,KIREMIRE A,,,Face to face,,3/13/2024,5/24/2024
CSC,498,1,30591,3,"ADV DATA MINING, FUSION & APPL",MWF,0930AM,1045AM,UNVH 111,CHOWRIAPPA P,XLS CSC 580-001,,Face to face,,3/13/2024,5/24/2024
CSC,499,1,30592,3,INCIDENT RESPONSE,MF,0330PM,0445PM,NETH 153,GATES M,XLS CSC 557-001,,Face to face,,3/13/2024,5/24/2024
CSC,521,1,30594,3,ADVANCED COMPUTER ARCHITECTURE,TR,0200PM,0350PM,NETH 140,CHOI B,,,Face to face,,3/13/2024,5/24/2024
CSC,530,1,30595,3,DATABASE THEORY,TR,0800AM,0950AM,IESB 216,TIMOFEYEV A,XLS CSC 430-001,,Face to face,,3/13/2024,5/24/2024
CSC,542,1,30596,3,INTRO TO CYBER SECURITY,MWF,1100AM,1215PM,IESB 224,KIREMIRE A,XLS CSC 442-001,,Face to face,,3/13/2024,5/24/2024
CSC,542,2,30597,3,INTRO TO CYBER SECURITY,MWF,1100AM,1215PM,IESB 224,TIMOFEYEV A,XLS CSC 442-002,,Face to face,,3/13/2024,5/24/2024
CSC,544,1,32534,3,APPLIED CRYPTOGRAPHY,MWF,0800AM,0915AM,NETH 105,STAFF T,XLS CSC 444-001,,Face to face,,3/13/2024,5/24/2024
CSC,544,2,32535,3,APPLIED CRYPTOGRAPHY,MWF,0330PM,0445PM,IESB 205,GLISSON W,XLS CSC 444-002,,Hybrid,,3/13/2024,5/24/2024
CSC,550A,1,30600,1,SPECIAL PROBLEMS,TBA,,,,CHOWRIAPPA P,,,Face to face,,3/13/2024,5/24/2024
CSC,550B,1,30601,2,SPECIAL PROBLEMS,TBA,,,,TURNER G,,,Face to face,,3/13/2024,5/24/2024
CSC,550C,1,30602,3,SPECIAL PROBLEMS,TBA,,,,CHOWRIAPPA P,,,Face to face,,3/13/2024,5/24/2024
CSC,551C,1,30603,3,MS THESIS IN COMPUTER SCIENCE,,,,,CHOWRIAPPA P,,,Face to face,,3/13/2024,5/24/2024
CSC,551F,1,30604,6,MS THESIS IN COMPUTER SCIENCE,TBA,,,,CHOWRIAPPA P,,,Face to face,,3/13/2024,5/24/2024
CSC,554,1,30605,3,ADVANCED NETWORKING,TR,1200PM,0150PM,,GLISSON W,XLS CSC 454-001,,Face to face,,3/13/2024,5/24/2024
CSC,555,1,30606,3,PRACTICUM,TBA,,,,CHOWRIAPPA P,,,Face to face,,3/13/2024,5/24/2024
CSC,557,1,30607,3,INCIDENT RESPONSE,MF,0330PM,0445PM,,GATES M,XLS CSC 499-001,,Not specified,,3/13/2024,5/24/2024
CSC,557,2,32604,3,CRYPTOGRAPHY & ELLIPTIC CURVES,TR,0200PM,0350PM,NETH 243,GREEN N,XLS MATH584-001,,Face to face,,3/13/2024,5/24/2024
CSC,580,1,30609,3,"ADV DATA MINING, FUSION & APPL",MWF,0930AM,1045AM,,CHOWRIAPPA P,XLS CSC 498-001,,Face to face,,3/13/2024,5/24/2024
CSET,310,1,30610,3,NTWRKING TECH ESSEN FOR CYBERSEC,TR,0800AM,0950AM,NETH 244,HYDE J,,,Face to face,,3/13/2024,5/24/2024
CSET,315,1,30611,1,APPLIED COMPUTER NETWORKING,TR,1000AM,1115AM,NETH 244,HYDE J,,,Face to face,,3/13/2024,5/24/2024
CSET,320,1,30612,3,PREV TECH IN NETWORK SEC DESIGN,TR,0400PM,0550PM,NETH 244,HYDE J,,,Face to face,,3/13/2024,5/24/2024
CSET,325,51,30613,1,NETWORK SECURITY LAB,TR,0600PM,0715PM,NETH 244,HYDE J,,,Not specified,,3/13/2024,5/24/2024
CSET,370,1,30614,1,APPLICATIONS OF CYBER SECURITY,W,0900AM,1150AM,NETH 244,GATES M,,,Not specified,,3/13/2024,5/24/2024
CVEN,254,1,30615,3,PLANE SURVEYING,TR,1230PM,0145PM,IESB 214,HOWELL J,,,Face to face,,3/13/2024,5/24/2024
CVEN,254,2,30616,3,PLANE SURVEYING,TR,1230PM,0145PM,IESB 214,HOWELL J,,,Face to face,,3/13/2024,5/24/2024
CVEN,302,1,30617,3,CVEN CONSTRUCTION MATERIALS,TR,1230PM,0145PM,BOGH 129,GORDON S,,,Face to face,,3/13/2024,5/24/2024
CVEN,302,2,30618,3,CVEN CONSTRUCTION MATERIALS,TR,1230PM,0145PM,BOGH 129,GORDON S,,,Face to face,,3/13/2024,5/24/2024
CVEN,310,1,30619,3,WATER RESOURCES I,MW,0930AM,1045AM,BOGH 328,MATTHEWS E,,,Face to face,,3/13/2024,5/24/2024
CVEN,324,1,30620,3,INTRO SOILS ENGR,TR,0200PM,0315PM,BOGH 129,WANG J,,,Face to face,,3/13/2024,5/24/2024
CVEN,324,2,30621,3,INTRO SOILS ENGR,TR,0200PM,0315PM,BOGH 129,WANG J,,,Face to face,,3/13/2024,5/24/2024
CVEN,344,1,30622,3,STEEL DESIGN,TR,1200PM,0150PM,BOGH 327,ALAM S,,,Face to face,,3/13/2024,5/24/2024
CVEN,435,1,30623,3,"CONSTR CONTRACTS, PLAN AND SPEC",MW,0800AM,0950AM,BOGH 327,JETER R,,,Face to face,,3/13/2024,5/24/2024
CVEN,436,1,30624,3,CONSTRUCTION EQUIPMENT & METHODS,MW,1100AM,1250PM,BOGH 327,JETER R,,,Face to face,,3/13/2024,5/24/2024
CVEN,450A,1,30625,1,SPECIAL PROBLEMS,TBA,,,,MATTHEWS E,,,Face to face,,3/13/2024,5/24/2024
CVEN,450B,1,30627,2,SPECIAL PROBLEMS,TBA,,,,MATTHEWS E,,,Face to face,,3/13/2024,5/24/2024
CVEN,450C,1,30628,3,SPECIAL PROBLEMS,TBA,,,,MATTHEWS E,,,Face to face,,3/13/2024,5/24/2024
CVEN,450C,2,30629,3,HIGHWAY ENGINEERING III,TR,1000AM,1150AM,BOGH 328,WASIUDDIN N,,,Face to face,,3/13/2024,5/24/2024
CVEN,450C,3,32435,3,CONSTRUCTION SAFETY OSHA 30,TBA,,,,JETER R,,,Face to face,,3/13/2024,5/24/2024
CVEN,460,1,30630,2,PRINCIPLES OF INFRASTRUCTURE MGT,TR,0800AM,0915AM,BOGH 325,JAGANATHAN A,,,Face to face,,3/13/2024,5/24/2024
CVEN,494,1,30631,1,CIVIL ENGR DESIGN III,M,0200PM,0500PM,BOGH 326,WANG J,,,Face to face,,3/13/2024,5/24/2024
CVEN,550C,1,30632,3,SPECIAL PROBLEMS,TBA,,,,WASIUDDIN N,,,Face to face,,3/13/2024,5/24/2024
CVEN,551C,1,30633,3,MSE THESIS IN CIVIL ENGR,,,,,WASIUDDIN N,,,Face to face,,3/13/2024,5/24/2024
CVEN,551F,1,30634,6,MSE THESIS IN CIVIL ENGR,,,,,WASIUDDIN N,,,Face to face,,3/13/2024,5/24/2024
CVEN,555,1,30635,3,PRACTICUM,TBA,,,,WASIUDDIN N,,,Face to face,,3/13/2024,5/24/2024
CVEN,557,1,30636,3,ADV HIGHWAY ENGINEERING,TR,1000AM,1150AM,BOGH 328,WASIUDDIN N,XLS CVEN450C002,,Face to face,,3/13/2024,5/24/2024
CVTE,100,1,30637,3,INTRODUCTION TO CONSTRUCTION,MW,0200PM,0350PM,IESB 105,MATTHEWS J,,,Face to face,,3/13/2024,5/24/2024
CVTE,210,1,30638,3,BASIC HYDRAULICS,TR,0800AM,0950AM,IESB 124,KRAFT J,,,Face to face,,3/13/2024,5/24/2024
CVTE,473,1,30639,3,DESIGN OF STRUCTURES,TR,1000AM,1150AM,IESB 124,SHAIK H,,,Face to face,,3/13/2024,5/24/2024
CVTE,493,1,30641,3,CAPSTONE FOR CONSTRUCTN PROJECT,TR,0200PM,0500PM,IESB 224,JETER R,,,Face to face,,3/13/2024,5/24/2024
CYEN,130,1,30642,3,THE SCIENCE OF COMPUTING I,MWF,1100AM,1215PM,,STAFF T,XLS CSC 130-001,,Face to face,,3/13/2024,5/24/2024
CYEN,131,1,30643,3,THE SCIENCE OF COMPUTING II,MWF,0800AM,0915AM,IESB 216,CORIELL J,XLS CSC 131-001,,Face to face,,3/13/2024,5/24/2024
CYEN,131,2,30644,3,THE SCIENCE OF COMPUTING II,MWF,0200PM,0315PM,IESB 216,CHERRY K,XLS CSC 131-002,,Face to face,,3/13/2024,5/24/2024
CYEN,132,1,30647,3,THE SCIENCE OF COMPUTING III,MWF,0800AM,0915AM,IESB 218,BOWMAN T,XLS CSC 132-001,,Face to face,,3/13/2024,5/24/2024
CYEN,132,2,30648,3,THE SCIENCE OF COMPUTING III,MWF,1100AM,1215PM,IESB 216,BOWMAN T,XLS CSC 132-002,,Face to face,,3/13/2024,5/24/2024
CYEN,132,3,30649,3,THE SCIENCE OF COMPUTING III,MWF,0200PM,0315PM,IESB 218,CORIELL J,XLS CSC 132-003,,Face to face,,3/13/2024,5/24/2024
CYEN,132,4,30650,3,THE SCIENCE OF COMPUTING III,MWF,0930AM,1045AM,IESB 218,BOWMAN T,XLS CSC 132-004,,Face to face,,3/13/2024,5/24/2024
CYEN,301,1,30651,3,COMPUTER NETWORK SECURITY,MWF,1100AM,1215PM,IESB 224,KIREMIRE A,XLS CSC 442-001,,Face to face,,3/13/2024,5/24/2024
CYEN,301,2,30652,3,COMPUTER NETWORK SECURITY,MWF,1100AM,1215PM,IESB 224,TIMOFEYEV A,XLS CSC 442-002,,Face to face,,3/13/2024,5/24/2024
CYEN,406,1,32536,3,APPLIED CRYPTOGRAPHY,MWF,0800AM,0915AM,NETH 105,STAFF T,XLS CSC 444-001,,Face to face,,3/13/2024,5/24/2024
CYEN,406,2,32537,3,APPLIED CRYPTOGRAPHY,MWF,0330PM,0445PM,IESB 205,SPURGEON J,XLS CSC 444-002,,Hybrid,,3/13/2024,5/24/2024
CYEN,480,1,30656,3,THEORY OF CYBER SCIENCE,TR,1000AM,1150AM,NETH 153,MIN M,,,Face to face,,3/13/2024,5/24/2024
CYEN,484,1,30657,1,SENIOR CAPSTONE II,MF,0200PM,0315PM,NETH 153,GATES M,,,Face to face,,3/13/2024,5/24/2024
CYEN,489,1,30658,3,ADVANCED COMPUTER NETWORKS,TR,1200PM,0150PM,,GLISSON W,XLS CSC 454-001,,Face to face,,3/13/2024,5/24/2024
CYEN,489,2,30659,3,INCIDENT RESPONSE,MF,0330PM,0445PM,,GATES M,XLS CSC 499-001,,Face to face,,3/13/2024,5/24/2024
ECON,201,1,30661,3,PRINCIPLES OF MACROECONOMICS,MWF,0800AM,0915AM,COBB 101,DOGBEY J,,,Face to face,,3/13/2024,5/24/2024
ECON,201,2,30662,3,PRINCIPLES OF MACROECONOMICS,TR,1000AM,1150AM,COBB 101,SCOTT C,,,Face to face,,3/13/2024,5/24/2024
ECON,202,1,30664,3,PRINCIPLES OF MICROECONOMICS,MWF,0930AM,1045AM,COBB 126,NWOHA O,,,Face to face,,3/13/2024,5/24/2024
ECON,202,2,30665,3,PRINCIPLES OF MICROECONOMICS,TR,0800AM,0950AM,COBB 126,NWOHA O,,,Face to face,,3/13/2024,5/24/2024
ECON,215,1,30668,3,FUNDAMENTALS OF ECONOMICS,MWF,1100AM,1215PM,COBB 109,NWOHA O,NO COB STUDENTS,,Face to face,,3/13/2024,5/24/2024
ECON,312,1,30669,3,MONETARY ECONOMICS,MWF,1230PM,0145PM,COBB 126,GUEYE G,,,Face to face,,3/13/2024,5/24/2024
ECON,401,1,30670,3,INTERNSHIP IN ECONOMICS I,TBA,,,,O'NEAL S,,,Face to face,,3/13/2024,5/24/2024
ECON,401,99,30671,3,INTERNSHIP IN ECONOMICS I,TBA,,,,O'NEAL S,,,Face to face,,3/13/2024,5/24/2024
ECON,405,1,30672,3,ECON OF REGULATION AND ANTITRUST,MW,0200PM,0350PM,COBB 105,BLACKSTOCK R,,,Face to face,,3/13/2024,5/24/2024
ECON,408,1,30675,3,INTERMEDIATE MICRO,MWF,1100AM,1215PM,COBB 107,PETERSON J,,,Face to face,,3/13/2024,5/24/2024
ECON,425,1,30677,1,REGIONAL ECONOMIC ANALYSIS,MWF,0800AM,0915AM,COBB 111,SCOTT C,,,Face to face,,3/13/2024,5/24/2024
ECON,510,1,30684,3,MANAGERIAL ECONOMICS,MWF,1230PM,0145PM,COBB 105,PETERSON J,,,Face to face,,3/13/2024,5/24/2024
EDCI,100,1,30689,0,ADMISSION TO TEACHING PROGRAM,TBA,,,,HOOD J,,,Face to face,,3/13/2024,5/24/2024
EDCI,125,1,30690,3,INTRODUCTION TO TEACHING,TR,0800AM,0950AM,WOOH 204,STRATTON L,,,Face to face,,3/13/2024,5/24/2024
EDCI,207,1,30692,3,LEARNING AND DEVELOPMENT,T,0800AM,0950AM,WOOH 208,WHITLOCK D,,,Face to face,,3/13/2024,5/24/2024
EDCI,210,1,30693,3,INSTRUCTIONAL TECHNOLOGY,MW,1100AM,1215PM,WOOH 131,SIVILS-SAWYER W,,,Face to face,,3/13/2024,5/24/2024
EDCI,219,1,30696,3,COMPREHENSION:DEV UNDERSTANDING,T,0200PM,0350PM,WOOH 108,KIMBELL-LOPEZ K,,,Face to face,,3/13/2024,5/24/2024
EDCI,416C,1,30698,3,CLINICAL RESIDENCY,F,0800AM,1045AM,,VESSEL A,,,Face to face,,3/13/2024,5/24/2024
EDCI,420,1,30699,3,MATH PRACTICUM,T,0200PM,0350PM,WOOH 215,STRATTON L,,,Face to face,,3/13/2024,5/24/2024
EDCI,420,2,30702,3,SCIENCE/SOCIAL STUDIES PRACTICUM,R,0200PM,0350PM,WOOH 108,MANNING E,,,Face to face,,3/13/2024,5/24/2024
EDCI,420,3,32609,3,SCIENCE/SOCIAL STUDIES PRACTICUM,R,0200PM,0350PM,WOOH 130,DICK L,,,Face to face,,3/13/2024,5/24/2024
EDCI,422,1,30704,3,ELEMENTARY MATHEMATICS METHODS,TR,1000AM,1150AM,WOOH 204,STRATTON L,,,Face to face,,3/13/2024,5/24/2024
EDCI,423,6,30705,3,EARLY CHILDHOOD/ELEM WRIT METHOD,M,0800AM,1145AM,WOOH 108,MANNING E,,,Face to face,,3/13/2024,5/24/2024
EDCI,424,1,30706,3,EARLY CHILDHOOD/ELEM READ METHOD,T,0800AM,1145AM,WOOH 108,KIMBELL-LOPEZ K,MANNING E,,Face to face,,3/13/2024,5/24/2024
EDCI,426,1,30707,3,EARLY CHILDHD/ELEM SOC STU METH,R,0400PM,0745PM,WOOH 208,STAFF T,,,Face to face,,3/13/2024,5/24/2024
EDCI,431,1,30708,3,ERLY CHLD/ELEM GRAPHOPHONIC METH,W,0800AM,1145AM,WOOH 108,MANNING E,,,Face to face,,3/13/2024,5/24/2024
